Task,Metric,Comparison,Paired unit,N,Left mean,Left SD (ddof=0),Right mean,Right SD (ddof=0),Mean difference,Wilcoxon p (two-sided),Effect size r_rb,HL difference,95% CI low,95% CI high,BH q,Significant (q<0.05)
Four-way ablation,AUROC,Masked Transductive - Original Transductive,run mean (mean of 5 folds),10,0.93028124,0.0011539816872030678,0.9305571,0.0012320757484830143,-0.0002758599999999389,0.048828125,-0.7090909090909091,-0.0002516999999997993,-0.0005166000000000337,-2.4999999999941735e-05,0.193359375,False
Four-way ablation,AUROC,Original Strict Inductive - Original Transductive,run mean (mean of 5 folds),10,0.93083,0.0013184915623544622,0.9305571,0.0012320757484830143,0.00027290000000000924,0.431640625,0.3090909090909091,0.0002395000000000036,-0.00021569999999992984,0.0007668000000001229,0.51796875,False
Four-way ablation,AUROC,Masked Strict Inductive - Original Transductive,run mean (mean of 5 folds),10,0.930328,0.0013258114496413106,0.9305571,0.0012320757484830143,-0.0002290999999999821,0.232421875,-0.45454545454545453,-0.00017100000000003224,-0.0007049000000000083,0.000326800000000127,0.3486328125,False
Four-way ablation,AUPRC,Masked Transductive - Original Transductive,run mean (mean of 5 folds),10,0.85792682,0.002947504089157513,0.8582832400000001,0.003100474044787333,-0.0003564200000000017,0.130859375,-0.5636363636363636,-0.0003798000000000412,-0.0007103000000000526,4.009999999993186e-05,0.26171875,False
Four-way ablation,AUPRC,Original Strict Inductive - Original Transductive,run mean (mean of 5 folds),10,0.8592460000000001,0.0030910587183035194,0.8582832400000001,0.003100474044787333,0.000962760000000018,0.064453125,0.6727272727272727,0.0009240000000000359,0.00014209999999997835,0.0018923999999999053,0.193359375,False
Four-way ablation,AUPRC,Masked Strict Inductive - Original Transductive,run mean (mean of 5 folds),10,0.8585379999999999,0.003413695358405619,0.8582832400000001,0.003100474044787333,0.0002547599999999983,0.556640625,0.23636363636363636,0.00030239999999998046,-0.0011079000000000505,0.001545799999999986,0.556640625,False
