Method,Task,Metric,Run,Fixed-test value
MNGCL,Clean -> Hit,AUPRC,10,0.906497
MNGCL,Hit -> Clean,AUROC,1,0.891255
MNGCL,Hit -> Clean,AUROC,2,0.893462
MNGCL,Hit -> Clean,AUROC,3,0.892074
MNGCL,Hit -> Clean,AUROC,4,0.89242
MNGCL,Hit -> Clean,AUROC,5,0.896318
MNGCL,Hit -> Clean,AUROC,6,0.895525
MNGCL,Hit -> Clean,AUROC,7,0.896224
MNGCL,Hit -> Clean,AUROC,8,0.892293
MNGCL,Hit -> Clean,AUROC,9,0.890606
MNGCL,Hit -> Clean,AUROC,10,0.886362
MNGCL,Hit -> Clean,AUPRC,1,0.779521
MNGCL,Hit -> Clean,AUPRC,2,0.773092
MNGCL,Hit -> Clean,AUPRC,3,0.782318
MNGCL,Hit -> Clean,AUPRC,4,0.78164
MNGCL,Hit -> Clean,AUPRC,5,0.781472
MNGCL,Hit -> Clean,AUPRC,6,0.786063
MNGCL,Hit -> Clean,AUPRC,7,0.784494
MNGCL,Hit -> Clean,AUPRC,8,0.777771
MNGCL,Hit -> Clean,AUPRC,9,0.773588
MNGCL,Hit -> Clean,AUPRC,10,0.774525
