Configuration,Metric,Run,Fold,Fold value,Run mean
Original Transductive,AUPRC,10,3,0.868053,0.8542822000000001
Original Transductive,AUPRC,10,4,0.880676,0.8542822000000001
Original Transductive,AUPRC,10,5,0.841897,0.8542822000000001
Masked Transductive,AUROC,1,1,0.927587,0.9305620000000001
Masked Transductive,AUROC,1,2,0.92931,0.9305620000000001
Masked Transductive,AUROC,1,3,0.928161,0.9305620000000001
Masked Transductive,AUROC,1,4,0.944217,0.9305620000000001
Masked Transductive,AUROC,1,5,0.923535,0.9305620000000001
Masked Transductive,AUROC,2,1,0.916861,0.9306128000000001
Masked Transductive,AUROC,2,2,0.93883,0.9306128000000001
Masked Transductive,AUROC,2,3,0.940732,0.9306128000000001
Masked Transductive,AUROC,2,4,0.922528,0.9306128000000001
Masked Transductive,AUROC,2,5,0.934113,0.9306128000000001
Masked Transductive,AUROC,3,1,0.930574,0.9307058000000001
Masked Transductive,AUROC,3,2,0.937523,0.9307058000000001
Masked Transductive,AUROC,3,3,0.928647,0.9307058000000001
Masked Transductive,AUROC,3,4,0.915447,0.9307058000000001
Masked Transductive,AUROC,3,5,0.941338,0.9307058000000001
Masked Transductive,AUROC,4,1,0.925174,0.9319402
Masked Transductive,AUROC,4,2,0.953419,0.9319402
Masked Transductive,AUROC,4,3,0.938844,0.9319402
Masked Transductive,AUROC,4,4,0.91716,0.9319402
Masked Transductive,AUROC,4,5,0.925104,0.9319402
Masked Transductive,AUROC,5,1,0.917478,0.929775
Masked Transductive,AUROC,5,2,0.947115,0.929775
Masked Transductive,AUROC,5,3,0.94661,0.929775
Masked Transductive,AUROC,5,4,0.913374,0.929775
Masked Transductive,AUROC,5,5,0.924298,0.929775
Masked Transductive,AUROC,6,1,0.89446,0.9288168000000001
Masked Transductive,AUROC,6,2,0.936662,0.9288168000000001
Masked Transductive,AUROC,6,3,0.915289,0.9288168000000001
Masked Transductive,AUROC,6,4,0.957112,0.9288168000000001
Masked Transductive,AUROC,6,5,0.940561,0.9288168000000001
Masked Transductive,AUROC,7,1,0.915999,0.9284725999999999
Masked Transductive,AUROC,7,2,0.922145,0.9284725999999999
Masked Transductive,AUROC,7,3,0.943836,0.9284725999999999
Masked Transductive,AUROC,7,4,0.933696,0.9284725999999999
Masked Transductive,AUROC,7,5,0.926687,0.9284725999999999
Masked Transductive,AUROC,8,1,0.94443,0.9322998
Masked Transductive,AUROC,8,2,0.91149,0.9322998
Masked Transductive,AUROC,8,3,0.935841,0.9322998
Masked Transductive,AUROC,8,4,0.928544,0.9322998
Masked Transductive,AUROC,8,5,0.941194,0.9322998
Masked Transductive,AUROC,9,1,0.929051,0.929737
Masked Transductive,AUROC,9,2,0.932397,0.929737
Masked Transductive,AUROC,9,3,0.941433,0.929737
Masked Transductive,AUROC,9,4,0.904883,0.929737
Masked Transductive,AUROC,9,5,0.940921,0.929737
Masked Transductive,AUROC,10,1,0.91587,0.9298904
Masked Transductive,AUROC,10,2,0.927759,0.9298904
Masked Transductive,AUROC,10,3,0.929062,0.9298904
Masked Transductive,AUROC,10,4,0.952348,0.9298904
Masked Transductive,AUROC,10,5,0.924413,0.9298904
Masked Transductive,AUPRC,1,1,0.846141,0.8590389999999999
Masked Transductive,AUPRC,1,2,0.869799,0.8590389999999999
Masked Transductive,AUPRC,1,3,0.870196,0.8590389999999999
Masked Transductive,AUPRC,1,4,0.865223,0.8590389999999999
Masked Transductive,AUPRC,1,5,0.843836,0.8590389999999999
Masked Transductive,AUPRC,2,1,0.821406,0.8591156
Masked Transductive,AUPRC,2,2,0.886197,0.8591156
Masked Transductive,AUPRC,2,3,0.870066,0.8591156
