Node_Index,Gene_ID,Gene_Symbol,Score
809,ENSG00000124486,USP9X,0.9918251
1260,ENSG00000235396,NOTCH4,0.9918005
2417,ENSG00000108883,EFTUD2,0.9917169
1363,ENSG00000164692,COL1A2,0.99153227
1551,ENSG00000169071,ROR2,0.991529
468,ENSG00000137462,TLR2,0.9914545
2615,ENSG00000171132,PRKCE,0.99143815
1531,ENSG00000253293,HOXA10,0.9913373
1278,ENSG00000171223,JUNB,0.99124277
1851,ENSG00000156508,EEF1A1,0.9912306
3090,ENSG00000144381,HSPD1,0.99115187
560,ENSG00000172216,CEBPB,0.9911315
1397,ENSG00000109971,HSPA8,0.9910704
782,ENSG00000100906,NFKBIA,0.99105257
1369,ENSG00000069702,TGFBR3,0.99104464
1529,ENSG00000044115,CTNNA1,0.9908454
3229,ENSG00000062524,LTK,0.9906833
2834,ENSG00000151623,NR3C2,0.9906619
4931,ENSG00000149177,PTPRJ,0.99049485
216,ENSG00000064300,NGFR,0.990488
367,ENSG00000132329,RAMP1,0.9904833
1322,ENSG00000066336,SPI1,0.9904426
1329,ENSG00000094631,HDAC6,0.9904028
1010,ENSG00000137076,TLN1,0.99033046
40,ENSG00000103275,UBE2I,0.9902317
2861,ENSG00000189403,HMGB1,0.9900921
2251,ENSG00000077522,ACTN2,0.9900025
