Model Variant,Dataset,Metric,50-Fold Mean,50-Fold SD,10-Run Mean,10-Run SD,Min Fold,Max Fold
BIMODriver-Original,CPDB,AUPRC,0.8586355632,0.02277177911229998,0.8586355632,0.0035673883988780546,0.81455482,0.90689116
BIMODriver-Original,CPDB,AUC,0.9305175896000002,0.012814179337501251,0.9305175896000002,0.001655062715893714,0.8971454,0.95561586
BIMODriver-Original,STRING,AUPRC,0.8414208096000002,0.016235267277218073,0.8414208096,0.00164253114156823,0.81722216,0.87237857
BIMODriver-Original,STRING,AUC,0.9284909798,0.00678912630803713,0.9284909798000001,0.001035748380335875,0.9148765,0.94334771
BIMODriver-Masking,CPDB,AUPRC,0.8591319218000001,0.02346219530790217,0.8591319218000001,0.002577973045035578,0.80875997,0.90499745
BIMODriver-Masking,CPDB,AUC,0.9309549456,0.013105399211527308,0.9309549456000001,0.001206635045282509,0.89286637,0.95774506
BIMODriver-Masking,STRING,AUPRC,0.8410720340000001,0.017130607578124957,0.841072034,0.0013816256981927313,0.81748517,0.87277209
BIMODriver-Masking,STRING,AUC,0.928563974,0.007813871458999566,0.928563974,0.0004666945360519714,0.91801506,0.94686869
BIMODriver-Masking (Mask Test-Incident Edges),CPDB,AUPRC,0.8543471734000002,0.02310963892544603,0.8543471733999999,0.002876217540444145,0.80942829,0.90695819
BIMODriver-Masking (Mask Test-Incident Edges),CPDB,AUC,0.9293662327999997,0.013300198195404915,0.9293662328000002,0.0013696068816176764,0.89438844,0.95788898
BIMODriver-Masking (Mask Test-Incident Edges),STRING,AUPRC,0.8401132798,0.020199648989930652,0.8401132798000001,0.001495124996224023,0.80544927,0.87751503
BIMODriver-Masking (Mask Test-Incident Edges),STRING,AUC,0.928969488,0.009310133746748437,0.9289694880000001,0.0007389404303715109,0.91660031,0.94826654
BIMODriver-Masking (Exclude Test Nodes from Loss),CPDB,AUPRC,0.8539629846,0.023806087464464224,0.8539629846000001,0.0027821154005334913,0.80495034,0.90266669
BIMODriver-Masking (Exclude Test Nodes from Loss),CPDB,AUC,0.9292190087999999,0.013359545113518896,0.9292190088,0.0010266089899003234,0.89344074,0.95898277
BIMODriver-Masking (Exclude Test Nodes from Loss),STRING,AUPRC,0.8400404412,0.0204696803674869,0.8400404411999999,0.0014140630274120571,0.80841953,0.87665746
BIMODriver-Masking (Exclude Test Nodes from Loss),STRING,AUC,0.9287943564000001,0.009288425542501543,0.9287943564000001,0.0006796377862466473,0.91767532,0.94788411
BIMODriver-Masking (Mask All Graph Edges),CPDB,AUPRC,0.8518394634,0.022879851396967125,0.8518394633999999,0.0021186643833827124,0.80734463,0.90341419
BIMODriver-Masking (Mask All Graph Edges),CPDB,AUC,0.9282519843999999,0.01299846083870889,0.9282519844000001,0.0009840149517818487,0.89813618,0.95603241
BIMODriver-Masking (Mask All Graph Edges),STRING,AUPRC,0.8374162059999999,0.02075984378809523,0.837416206,0.0023183052769125967,0.80916719,0.87851694
BIMODriver-Masking (Mask All Graph Edges),STRING,AUC,0.9268631312,0.010948184844301571,0.9268631312,0.0009549199948851321,0.91001042,0.94878084
DISFusion,CPDB,AUPRC,0.84362496,0.022243246825911018,0.84362496,0.003757352334610077,0.795617,0.886959
DISFusion,CPDB,AUC,0.92384068,0.013296734380200275,0.92384068,0.0016937778820140426,0.886591,0.949642
DISFusion,STRING,AUPRC,0.8285508600000001,0.01964553601305904,0.82855086,0.002846426720012308,0.792719,0.870755
DISFusion,STRING,AUC,0.9252574,0.01122366431251398,0.9252573999999999,0.0009056033215486579,0.899276,0.94751
MNGCL,CPDB,AUPRC,0.8397671502000001,0.02150857983079399,0.8397671501999999,0.002299215855777689,0.8019149,0.88036771
MNGCL,CPDB,AUC,0.9184688304,0.020312462763232328,0.9184688304000002,0.0013655039964417233,0.8769563,0.94288618
MNGCL,STRING,AUPRC,0.8163198358,0.013128126698637102,0.8163198358000001,0.0024996682344499083,0.78730467,0.84719852
MNGCL,STRING,AUC,0.91944633,0.005460054592845025,0.9194463300000001,0.001421234403314573,0.9084418,0.93190648
