Dataset,Metric,Comparison,Candidate,Reference,Paired Unit,N,Candidate Mean,Candidate SD (ddof=0),Reference Mean,Reference SD (ddof=0),Mean Difference,Hodges-Lehmann Diff,95% CI Low,95% CI High,Rank-Biserial r_rb,Wilcoxon p (two-sided),"BH q (Global, m=40)",Significant Global (q<0.05),"BH q (Family, m=10)",Significant Family (q<0.05)
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,50-fold value,50,0.8374162059999999,0.02075984378809523,0.8285508600000001,0.01964553601305904,0.00886534600000001,0.008929799999999988,0.00022937999999994574,0.01723201499999999,0.31607843137254904,0.0517586538643236,0.05915274727351268,False,0.0517586538643236,False
STRING,AUPRC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,50-fold value,50,0.8374162059999999,0.02075984378809523,0.8163198358,0.013128126698637102,0.021096370200000006,0.021817375000000028,0.00965419775,0.029606094999999943,0.5733333333333334,0.0004182799676485211,0.0007274434219974279,True,0.0008365599352970421,True
STRING,AUC,BIMODriver-Original - DISFusion,BIMODriver-Original,DISFusion,50-fold value,50,0.9284909798,0.00678912630803713,0.9252574,0.01122366431251398,0.0032335798000000036,0.0031811000000000478,-0.0006887549999999854,0.006983344999999974,0.25019607843137254,0.12363399711559386,0.1373711079062154,False,0.1537770012528261,False
STRING,AUC,BIMODriver-Original - MNGCL,BIMODriver-Original,MNGCL,50-fold value,50,0.9284909798,0.00678912630803713,0.91944633,0.005460054592845025,0.0090446498,0.0077715750000000305,0.0043912400000000185,0.012698935000000022,0.7992156862745098,8.727877108700991e-07,4.987358347829137e-06,True,8.72787710870099e-06,True
STRING,AUC,BIMODriver-Masking - DISFusion,BIMODriver-Masking,DISFusion,50-fold value,50,0.928563974,0.007813871458999566,0.9252574,0.01122366431251398,0.0033065740000000044,0.003131850000000047,-0.0010110950000000174,0.007047585000000023,0.24235294117647058,0.13584822858890458,0.14194800115645487,False,0.1537770012528261,False
STRING,AUC,BIMODriver-Masking - MNGCL,BIMODriver-Masking,MNGCL,50-fold value,50,0.928563974,0.007813871458999566,0.91944633,0.005460054592845025,0.009117644000000001,0.007102419999999998,0.0038319177500000428,0.012964609999999988,0.7364705882352941,5.836857988721509e-06,2.1224938140805487e-05,True,2.9184289943607545e-05,True
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - DISFusion,BIMODriver-Masking (Mask Test-Incident Edges),DISFusion,50-fold value,50,0.928969488,0.009310133746748437,0.9252574,0.01122366431251398,0.0037120880000000066,0.0036765500000000007,-0.0007385699999999384,0.0076991500000000435,0.24705882352941178,0.12841263682125154,0.13882447223919084,False,0.1537770012528261,False
STRING,AUC,BIMODriver-Masking (Mask Test-Incident Edges) - MNGCL,BIMODriver-Masking (Mask Test-Incident Edges),MNGCL,50-fold value,50,0.928969488,0.009310133746748437,0.91944633,0.005460054592845025,0.009523158000000002,0.007227495000000028,0.0029779600000000017,0.014166939999999961,0.6909803921568628,2.11615211152453e-05,5.643072297398746e-05,True,7.053840371748432e-05,True
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - DISFusion,BIMODriver-Masking (Exclude Test Nodes from Loss),DISFusion,50-fold value,50,0.9287943564000001,0.009288425542501543,0.9252574,0.01122366431251398,0.0035369564000000044,0.0035438499999999595,-0.00119505999999997,0.007401914999999981,0.2407843137254902,0.13839930112754348,0.14194800115645487,False,0.1537770012528261,False
STRING,AUC,BIMODriver-Masking (Exclude Test Nodes from Loss) - MNGCL,BIMODriver-Masking (Exclude Test Nodes from Loss),MNGCL,50-fold value,50,0.9287943564000001,0.009288425542501543,0.91944633,0.005460054592845025,0.0093480264,0.006942925000000044,0.00266609000000001,0.01388541299999997,0.6486274509803922,6.562049724185385e-05,0.00013814841524600812,True,0.00016405124310463464,True
STRING,AUC,BIMODriver-Masking (Mask All Graph Edges) - DISFusion,BIMODriver-Masking (Mask All Graph Edges),DISFusion,50-fold value,50,0.9268631312,0.010948184844301571,0.9252574,0.01122366431251398,0.0016057312000000025,0.0012391800000000064,-0.0034696200000000066,0.0059476500000000265,0.06823529411764706,0.6745456337061272,0.6745456337061272,False,0.6745456337061272,False
STRING,AUC,BIMODriver-Masking (Mask All Graph Edges) - MNGCL,BIMODriver-Masking (Mask All Graph Edges),MNGCL,50-fold value,50,0.9268631312,0.010948184844301571,0.91944633,0.005460054592845025,0.007416801199999998,0.005844965000000035,0.0013511749999999823,0.011628034999999981,0.4337254901960784,0.007604765791502593,0.009217897929094053,True,0.015209531583005188,True
