Run,Fold,Dataset,Metric,BIMODriver-Original,BIMODriver-Masking,BIMODriver-Masking (Mask Test-Incident Edges),BIMODriver-Masking (Exclude Test Nodes from Loss),BIMODriver-Masking (Mask All Graph Edges),DISFusion,MNGCL
3,5,CPDB,AUPRC,0.89233134,0.89677474,0.89920177,0.89719668,0.88076561,0.8852,0.84900021
3,5,CPDB,AUC,0.9392945,0.94102154,0.94407265,0.94339623,0.93848855,0.93738,0.92083419
3,5,STRING,AUPRC,0.82048079,0.81748517,0.81911052,0.81046672,0.81428328,0.815372,0.82404222
3,5,STRING,AUC,0.92513404,0.92297075,0.92283803,0.91882996,0.91959972,0.919494,0.92059782
4,1,CPDB,AUPRC,0.84854575,0.84927765,0.84660607,0.8332062,0.84098162,0.841961,0.81285456
4,1,CPDB,AUC,0.92454266,0.92584934,0.92508831,0.91796617,0.92279084,0.91989,0.88579776
4,1,STRING,AUPRC,0.83247296,0.82664876,0.82796698,0.83138404,0.82024013,0.850873,0.82643151
4,1,STRING,AUC,0.92438449,0.92394931,0.92257784,0.92338226,0.91355778,0.936504,0.9195451
4,2,CPDB,AUPRC,0.90689116,0.90499745,0.90695819,0.90074592,0.89611544,0.886561,0.8624229
4,2,CPDB,AUC,0.9552856,0.95469688,0.95382097,0.95163838,0.94804859,0.946785,0.93541667
4,2,STRING,AUPRC,0.84202288,0.83332638,0.83125944,0.83217701,0.8332611,0.84497,0.81816865
4,2,STRING,AUC,0.92764173,0.92633619,0.92642851,0.92657356,0.92779998,0.937835,0.92185598
4,3,CPDB,AUPRC,0.86977204,0.85966929,0.86676014,0.86756881,0.86928207,0.851219,0.83974432
4,3,CPDB,AUC,0.94262014,0.93765732,0.9423913,0.94322082,0.94147597,0.936885,0.93548883
4,3,STRING,AUPRC,0.86541797,0.87277209,0.86678156,0.87510228,0.87331408,0.810728,0.80355006
4,3,STRING,AUC,0.93910142,0.94442906,0.94445543,0.9454181,0.9467632,0.920428,0.91132128
4,4,CPDB,AUPRC,0.84118302,0.84169785,0.84538273,0.84066246,0.84158413,0.828152,0.8270131
4,4,CPDB,AUC,0.91724595,0.91531742,0.91593627,0.91557647,0.91618094,0.918815,0.91153413
4,4,STRING,AUPRC,0.84603905,0.84871476,0.84683474,0.85131433,0.8547935,0.825225,0.78730467
4,4,STRING,AUC,0.92668684,0.92789457,0.92762913,0.93053565,0.92939428,0.917091,0.91124805
4,5,CPDB,AUPRC,0.83942535,0.83933389,0.83034188,0.8328739,0.82564215,0.814797,0.86161068
4,5,CPDB,AUC,0.9230891,0.92199531,0.91717399,0.91998043,0.91472734,0.901515,0.92967309
4,5,STRING,AUPRC,0.81968055,0.82848215,0.8170723,0.81079852,0.81183102,0.827401,0.81699728
4,5,STRING,AUC,0.92259914,0.92326273,0.92217444,0.91938738,0.92038276,0.917901,0.91887425
5,1,CPDB,AUPRC,0.85699618,0.85824259,0.84354852,0.84463089,0.84340427,0.831762,0.80721677
5,1,CPDB,AUC,0.92010568,0.9201344,0.91298354,0.91499383,0.91477844,0.914089,0.88249492
