范围,基线,指标,测试类型,p值,BH_q_合并(本范围),BH_q_分指标(本范围),论文参考值,BH显著_q<0.05
STRING,MTGCN,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-15,1.2297855042001734e-14,1.3322676295501878e-14,1e-15,TRUE
STRING,EMOGI,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,1.1672032229625984e-09,1.5006898580947693e-09,1.5006898580947693e-09,1e-15,TRUE
STRING,GCN,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,Cheb,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
STRING,GAT,AUPRC,Wilcoxon 配对 50 折值（10 runs × 5 folds）,8.881784197001252e-16,2.90676573720041e-15,2.6645352591003757e-15,1e-15,TRUE
单癌症-15均值,GAT,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.0001373291015625,3.05e-05,TRUE
单癌症-15均值,GAT,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.00010986328125,3.05e-05,TRUE
单癌症-15均值,SAGE,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.00042724609375,0.00054931640625,0.00054931640625,0.000427,TRUE
单癌症-15均值,SAGE,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,3.0517578125e-05,0.0001373291015625,0.00010986328125,3.05e-05,TRUE
单癌症-15均值,ChebNet,AUC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.001312255859375,0.00157470703125,0.001476287841796875,0.00131,TRUE
单癌症-15均值,ChebNet,AUPRC,Wilcoxon 配对 15 个癌症均值（论文 appendix A9 口径）,0.000213623046875,0.00034956498579545456,0.00029578575721153844,0.000214,TRUE
